VarName;TimeString;VarValue;Validity;Time_ms
231;2015-11-02 11:09;-1;1;42310464953
238;2015-11-02 11:09;-1;1;42310464953
239;2015-11-02 11:09;-1;1;42310464953
18;2015-11-02 11:09;-1;1;42310464953
19;2015-11-02 11:09;-1;1;42310464953
20;2015-11-02 11:09;-1;1;42310464953
22;2015-11-02 11:09;-1;1;42310464953
24;2015-11-02 11:09;-1;1;42310464953
25;2015-11-02 11:09;-1;1;42310464953
26;2015-11-02 11:09;-1;1;42310464953
27;2015-11-02 11:09;-1;1;42310464953
28;2015-11-02 11:09;-1;1;42310464953
29;2015-11-02 11:09;-1;1;42310464953
30;2015-11-02 11:09;-1;1;42310464953
31;2015-11-02 11:09;-1;1;42310464953
2;2015-11-02 11:09;-1;1;42310464953
3;2015-11-02 11:09;-1;1;42310464953
5;2015-11-02 11:09;-1;1;42310464953
6;2015-11-02 11:09;-1;1;42310464953
7;2015-11-02 11:09;-1;1;42310464953
8;2015-11-02 11:09;-1;1;42310464953
9;2015-11-02 11:09;-1;1;42310464953
10;2015-11-02 11:09;-1;1;42310464953
11;2015-11-02 11:09;-1;1;42310464953
12;2015-11-02 11:09;-1;1;42310464953
13;2015-11-02 11:09;-1;1;42310464953
14;2015-11-02 11:09;-1;1;42310464953
15;2015-11-02 11:09;-1;1;42310464953
16;2015-11-02 11:09;-1;1;42310464953
1;2015-11-02 11:11;-1;1;42310466052
18;2015-11-02 11:11;0;1;42310466307
19;2015-11-02 11:11;0;1;42310466307
20;2015-11-02 11:11;0;1;42310466307
22;2015-11-02 11:11;0;1;42310466307
24;2015-11-02 11:11;0;1;42310466307
25;2015-11-02 11:11;0;1;42310466307
26;2015-11-02 11:11;0;1;42310466307
27;2015-11-02 11:11;0;1;42310466307
28;2015-11-02 11:11;0;1;42310466307
29;2015-11-02 11:11;0;1;42310466307
30;2015-11-02 11:11;0;1;42310466307
31;2015-11-02 11:11;0;1;42310466307
1;2015-11-02 11:11;0;1;42310466307
2;2015-11-02 11:11;0;1;42310466307
3;2015-11-02 11:11;0;1;42310466307
5;2015-11-02 11:11;0;1;42310466307
6;2015-11-02 11:11;0;1;42310466307
7;2015-11-02 11:11;0;1;42310466307
8;2015-11-02 11:11;0;1;42310466307
9;2015-11-02 11:11;0;1;42310466307
10;2015-11-02 11:11;0;1;42310466307
11;2015-11-02 11:11;0;1;42310466307
12;2015-11-02 11:11;0;1;42310466307
13;2015-11-02 11:11;0;1;42310466307
14;2015-11-02 11:11;0;1;42310466307
15;2015-11-02 11:11;0;1;42310466307
16;2015-11-02 11:11;0;1;42310466307
1;2015-11-02 11:11;-1;1;42310466504
2;2015-11-02 11:11;-1;1;42310466504
3;2015-11-02 11:11;-1;1;42310466504
5;2015-11-02 11:11;-1;1;42310466504
6;2015-11-02 11:11;-1;1;42310466504
7;2015-11-02 11:11;-1;1;42310466504
8;2015-11-02 11:11;-1;1;42310466504
9;2015-11-02 11:11;-1;1;42310466504
10;2015-11-02 11:11;-1;1;42310466504
18;2015-11-02 11:11;-1;1;42310466631
19;2015-11-02 11:11;-1;1;42310466631
20;2015-11-02 11:11;-1;1;42310466631
11;2015-11-02 11:11;-1;1;42310466631
12;2015-11-02 11:11;-1;1;42310466631
13;2015-11-02 11:11;-1;1;42310466631
14;2015-11-02 11:11;-1;1;42310466631
15;2015-11-02 11:11;-1;1;42310466631
16;2015-11-02 11:11;-1;1;42310466631
22;2015-11-02 11:14;-1;1;42310468136
24;2015-11-02 11:14;-1;1;42310468136
25;2015-11-02 11:14;-1;1;42310468136
26;2015-11-02 11:14;-1;1;42310468136
27;2015-11-02 11:14;-1;1;42310468136
28;2015-11-02 11:14;-1;1;42310468136
29;2015-11-02 11:14;-1;1;42310468136
30;2015-11-02 11:14;-1;1;42310468136
31;2015-11-02 11:14;-1;1;42310468228
18;2015-11-02 11:15;0;1;42310469386
19;2015-11-02 11:15;0;1;42310469386
20;2015-11-02 11:15;0;1;42310469386
22;2015-11-02 11:15;0;1;42310469386
24;2015-11-02 11:15;0;1;42310469386
25;2015-11-02 11:15;0;1;42310469386
26;2015-11-02 11:15;0;1;42310469386
27;2015-11-02 11:15;0;1;42310469386
28;2015-11-02 11:15;0;1;42310469386
29;2015-11-02 11:15;0;1;42310469386
30;2015-11-02 11:15;0;1;42310469386
31;2015-11-02 11:15;0;1;42310469386
1;2015-11-02 11:15;0;1;42310469386
2;2015-11-02 11:15;0;1;42310469386
3;2015-11-02 11:15;0;1;42310469386
5;2015-11-02 11:15;0;1;42310469386
6;2015-11-02 11:15;0;1;42310469386
7;2015-11-02 11:15;0;1;42310469386
8;2015-11-02 11:15;0;1;42310469386
9;2015-11-02 11:15;0;1;42310469386
10;2015-11-02 11:15;0;1;42310469386
11;2015-11-02 11:15;0;1;42310469386
12;2015-11-02 11:15;0;1;42310469386
13;2015-11-02 11:15;0;1;42310469386
14;2015-11-02 11:15;0;1;42310469386
15;2015-11-02 11:15;0;1;42310469386
16;2015-11-02 11:15;0;1;42310469386
18;2015-11-02 11:16;-1;1;42310469664
19;2015-11-02 11:16;-1;1;42310469664
20;2015-11-02 11:16;-1;1;42310469664
22;2015-11-02 11:16;-1;1;42310469664
24;2015-11-02 11:16;-1;1;42310469664
25;2015-11-02 11:16;-1;1;42310469664
26;2015-11-02 11:16;-1;1;42310469664
27;2015-11-02 11:16;-1;1;42310469664
28;2015-11-02 11:16;-1;1;42310469664
29;2015-11-02 11:16;-1;1;42310469664
30;2015-11-02 11:16;-1;1;42310469664
31;2015-11-02 11:16;-1;1;42310469664
1;2015-11-02 11:16;-1;1;42310469664
2;2015-11-02 11:16;-1;1;42310469664
3;2015-11-02 11:16;-1;1;42310469664
5;2015-11-02 11:16;-1;1;42310469664
6;2015-11-02 11:16;-1;1;42310469664
7;2015-11-02 11:16;-1;1;42310469664
8;2015-11-02 11:16;-1;1;42310469664
9;2015-11-02 11:16;-1;1;42310469664
10;2015-11-02 11:16;-1;1;42310469664
11;2015-11-02 11:16;-1;1;42310469664
12;2015-11-02 11:16;-1;1;42310469664
13;2015-11-02 11:16;-1;1;42310469664
14;2015-11-02 11:16;-1;1;42310469664
15;2015-11-02 11:16;-1;1;42310469664
16;2015-11-02 11:16;-1;1;42310469664
18;2015-11-02 11:17;0;1;42310470242
19;2015-11-02 11:17;0;1;42310470242
20;2015-11-02 11:17;0;1;42310470242
22;2015-11-02 11:17;0;1;42310470242
24;2015-11-02 11:17;0;1;42310470242
25;2015-11-02 11:17;0;1;42310470242
26;2015-11-02 11:17;0;1;42310470242
27;2015-11-02 11:17;0;1;42310470242
28;2015-11-02 11:17;0;1;42310470242
29;2015-11-02 11:17;0;1;42310470242
30;2015-11-02 11:17;0;1;42310470242
31;2015-11-02 11:17;0;1;42310470242
1;2015-11-02 11:17;0;1;42310470242
2;2015-11-02 11:17;0;1;42310470242
3;2015-11-02 11:17;0;1;42310470242
5;2015-11-02 11:17;0;1;42310470242
6;2015-11-02 11:17;0;1;42310470242
7;2015-11-02 11:17;0;1;42310470242
8;2015-11-02 11:17;0;1;42310470242
9;2015-11-02 11:17;0;1;42310470242
10;2015-11-02 11:17;0;1;42310470242
11;2015-11-02 11:17;0;1;42310470242
12;2015-11-02 11:17;0;1;42310470242
13;2015-11-02 11:17;0;1;42310470242
14;2015-11-02 11:17;0;1;42310470242
15;2015-11-02 11:17;0;1;42310470243
16;2015-11-02 11:17;0;1;42310470243
18;2015-11-02 11:17;-1;1;42310470648
19;2015-11-02 11:17;-1;1;42310470648
20;2015-11-02 11:17;-1;1;42310470648
22;2015-11-02 11:17;-1;1;42310470648
24;2015-11-02 11:17;-1;1;42310470648
25;2015-11-02 11:17;-1;1;42310470648
26;2015-11-02 11:17;-1;1;42310470648
27;2015-11-02 11:17;-1;1;42310470648
28;2015-11-02 11:17;-1;1;42310470648
29;2015-11-02 11:17;-1;1;42310470648
30;2015-11-02 11:17;-1;1;42310470648
31;2015-11-02 11:17;-1;1;42310470648
1;2015-11-02 11:17;-1;1;42310470648
2;2015-11-02 11:17;-1;1;42310470648
3;2015-11-02 11:17;-1;1;42310470648
5;2015-11-02 11:17;-1;1;42310470648
6;2015-11-02 11:17;-1;1;42310470648
7;2015-11-02 11:17;-1;1;42310470648
8;2015-11-02 11:17;-1;1;42310470648
9;2015-11-02 11:17;-1;1;42310470648
10;2015-11-02 11:17;-1;1;42310470648
11;2015-11-02 11:17;-1;1;42310470648
12;2015-11-02 11:17;-1;1;42310470648
13;2015-11-02 11:17;-1;1;42310470648
14;2015-11-02 11:17;-1;1;42310470648
15;2015-11-02 11:17;-1;1;42310470648
16;2015-11-02 11:17;-1;1;42310470648
233;2015-11-02 11:19;-1;1;42310471747
232;2015-11-02 11:19;-1;1;42310471851
232;2015-11-02 11:19;0;1;42310472002
233;2015-11-02 11:19;0;1;42310472002
233;2015-11-02 11:20;-1;1;42310472268
232;2015-11-02 11:20;-1;1;42310472372
232;2015-11-02 11:20;0;1;42310472476
233;2015-11-02 11:20;0;1;42310472476
233;2015-11-02 11:20;-1;1;42310472708
232;2015-11-02 11:20;-1;1;42310472812
232;2015-11-02 11:21;0;1;42310473321
233;2015-11-02 11:21;0;1;42310473321
$RT_OFF$;2015-11-02 11:22;0;2;42310473614
231;2015-11-02 11:26;-1;1;42310476586
238;2015-11-02 11:26;-1;1;42310476586
239;2015-11-02 11:26;-1;1;42310476586
18;2015-11-02 11:26;-1;1;42310476586
19;2015-11-02 11:26;-1;1;42310476586
20;2015-11-02 11:26;-1;1;42310476586
22;2015-11-02 11:26;-1;1;42310476586
24;2015-11-02 11:26;-1;1;42310476586
25;2015-11-02 11:26;-1;1;42310476586
26;2015-11-02 11:26;-1;1;42310476586
27;2015-11-02 11:26;-1;1;42310476586
28;2015-11-02 11:26;-1;1;42310476586
29;2015-11-02 11:26;-1;1;42310476586
30;2015-11-02 11:26;-1;1;42310476586
31;2015-11-02 11:26;-1;1;42310476586
1;2015-11-02 11:26;-1;1;42310476586
2;2015-11-02 11:26;-1;1;42310476586
3;2015-11-02 11:26;-1;1;42310476586
5;2015-11-02 11:26;-1;1;42310476586
6;2015-11-02 11:26;-1;1;42310476586
7;2015-11-02 11:26;-1;1;42310476586
8;2015-11-02 11:26;-1;1;42310476586
9;2015-11-02 11:26;-1;1;42310476586
10;2015-11-02 11:26;-1;1;42310476586
11;2015-11-02 11:26;-1;1;42310476586
12;2015-11-02 11:26;-1;1;42310476586
13;2015-11-02 11:26;-1;1;42310476586
14;2015-11-02 11:26;-1;1;42310476586
15;2015-11-02 11:26;-1;1;42310476586
16;2015-11-02 11:26;-1;1;42310476586
$RT_OFF$;2015-11-02 11:30;0;2;42310479829
231;2015-11-02 11:33;-1;1;42310481542
238;2015-11-02 11:33;-1;1;42310481542
239;2015-11-02 11:33;-1;1;42310481542
18;2015-11-02 11:33;-1;1;42310481542
19;2015-11-02 11:33;-1;1;42310481542
20;2015-11-02 11:33;-1;1;42310481542
22;2015-11-02 11:33;-1;1;42310481542
24;2015-11-02 11:33;-1;1;42310481542
25;2015-11-02 11:33;-1;1;42310481542
26;2015-11-02 11:33;-1;1;42310481542
27;2015-11-02 11:33;-1;1;42310481542
28;2015-11-02 11:33;-1;1;42310481542
29;2015-11-02 11:33;-1;1;42310481542
30;2015-11-02 11:33;-1;1;42310481542
31;2015-11-02 11:33;-1;1;42310481542
1;2015-11-02 11:33;-1;1;42310481542
2;2015-11-02 11:33;-1;1;42310481542
3;2015-11-02 11:33;-1;1;42310481542
5;2015-11-02 11:33;-1;1;42310481542
6;2015-11-02 11:33;-1;1;42310481542
7;2015-11-02 11:33;-1;1;42310481542
8;2015-11-02 11:33;-1;1;42310481542
9;2015-11-02 11:33;-1;1;42310481542
10;2015-11-02 11:33;-1;1;42310481542
11;2015-11-02 11:33;-1;1;42310481542
12;2015-11-02 11:33;-1;1;42310481542
13;2015-11-02 11:33;-1;1;42310481542
14;2015-11-02 11:33;-1;1;42310481542
15;2015-11-02 11:33;-1;1;42310481542
16;2015-11-02 11:33;-1;1;42310481542
$RT_OFF$;2015-11-02 11:39;0;2;42310485714
231;2015-11-02 11:40;-1;1;42310486682
238;2015-11-02 11:40;-1;1;42310486682
239;2015-11-02 11:40;-1;1;42310486682
18;2015-11-02 11:40;-1;1;42310486682
19;2015-11-02 11:40;-1;1;42310486682
20;2015-11-02 11:40;-1;1;42310486682
22;2015-11-02 11:40;-1;1;42310486682
24;2015-11-02 11:40;-1;1;42310486682
25;2015-11-02 11:40;-1;1;42310486682
26;2015-11-02 11:40;-1;1;42310486682
27;2015-11-02 11:40;-1;1;42310486682
28;2015-11-02 11:40;-1;1;42310486682
29;2015-11-02 11:40;-1;1;42310486682
30;2015-11-02 11:40;-1;1;42310486682
31;2015-11-02 11:40;-1;1;42310486682
1;2015-11-02 11:40;-1;1;42310486682
2;2015-11-02 11:40;-1;1;42310486682
3;2015-11-02 11:40;-1;1;42310486682
5;2015-11-02 11:40;-1;1;42310486682
6;2015-11-02 11:40;-1;1;42310486682
7;2015-11-02 11:40;-1;1;42310486682
8;2015-11-02 11:40;-1;1;42310486682
9;2015-11-02 11:40;-1;1;42310486682
10;2015-11-02 11:40;-1;1;42310486682
11;2015-11-02 11:40;-1;1;42310486682
12;2015-11-02 11:40;-1;1;42310486682
13;2015-11-02 11:40;-1;1;42310486682
14;2015-11-02 11:40;-1;1;42310486682
15;2015-11-02 11:40;-1;1;42310486682
16;2015-11-02 11:40;-1;1;42310486682
$RT_OFF$;2015-11-02 11:43;0;2;42310488802
231;2015-11-02 11:45;-1;1;42310489859
238;2015-11-02 11:45;-1;1;42310489859
239;2015-11-02 11:45;-1;1;42310489859
18;2015-11-02 11:45;-1;1;42310489859
19;2015-11-02 11:45;-1;1;42310489859
20;2015-11-02 11:45;-1;1;42310489859
22;2015-11-02 11:45;-1;1;42310489859
24;2015-11-02 11:45;-1;1;42310489859
25;2015-11-02 11:45;-1;1;42310489859
26;2015-11-02 11:45;-1;1;42310489859
27;2015-11-02 11:45;-1;1;42310489859
28;2015-11-02 11:45;-1;1;42310489859
29;2015-11-02 11:45;-1;1;42310489859
30;2015-11-02 11:45;-1;1;42310489859
31;2015-11-02 11:45;-1;1;42310489859
1;2015-11-02 11:45;-1;1;42310489859
2;2015-11-02 11:45;-1;1;42310489859
3;2015-11-02 11:45;-1;1;42310489859
5;2015-11-02 11:45;-1;1;42310489859
6;2015-11-02 11:45;-1;1;42310489859
7;2015-11-02 11:45;-1;1;42310489859
8;2015-11-02 11:45;-1;1;42310489860
9;2015-11-02 11:45;-1;1;42310489860
10;2015-11-02 11:45;-1;1;42310489860
11;2015-11-02 11:45;-1;1;42310489860
12;2015-11-02 11:45;-1;1;42310489860
13;2015-11-02 11:45;-1;1;42310489860
14;2015-11-02 11:45;-1;1;42310489860
15;2015-11-02 11:45;-1;1;42310489860
16;2015-11-02 11:45;-1;1;42310489860
$RT_OFF$;2015-11-02 11:49;0;2;42310492649
231;2015-11-02 11:50;-1;1;42310493541
238;2015-11-02 11:50;-1;1;42310493541
239;2015-11-02 11:50;-1;1;42310493541
18;2015-11-02 11:50;-1;1;42310493541
19;2015-11-02 11:50;-1;1;42310493541
20;2015-11-02 11:50;-1;1;42310493541
22;2015-11-02 11:50;-1;1;42310493541
24;2015-11-02 11:50;-1;1;42310493541
25;2015-11-02 11:50;-1;1;42310493541
26;2015-11-02 11:50;-1;1;42310493541
27;2015-11-02 11:50;-1;1;42310493541
28;2015-11-02 11:50;-1;1;42310493541
29;2015-11-02 11:50;-1;1;42310493541
30;2015-11-02 11:50;-1;1;42310493541
31;2015-11-02 11:50;-1;1;42310493541
1;2015-11-02 11:50;-1;1;42310493541
2;2015-11-02 11:50;-1;1;42310493541
3;2015-11-02 11:50;-1;1;42310493541
5;2015-11-02 11:50;-1;1;42310493541
6;2015-11-02 11:50;-1;1;42310493541
7;2015-11-02 11:50;-1;1;42310493541
8;2015-11-02 11:50;-1;1;42310493541
9;2015-11-02 11:50;-1;1;42310493541
10;2015-11-02 11:50;-1;1;42310493541
11;2015-11-02 11:50;-1;1;42310493541
12;2015-11-02 11:50;-1;1;42310493541
13;2015-11-02 11:50;-1;1;42310493541
14;2015-11-02 11:50;-1;1;42310493541
15;2015-11-02 11:50;-1;1;42310493541
16;2015-11-02 11:50;-1;1;42310493541
18;2015-11-02 12:07;0;1;42310505254
19;2015-11-02 12:07;0;1;42310505254
20;2015-11-02 12:07;0;1;42310505254
22;2015-11-02 12:07;0;1;42310505254
24;2015-11-02 12:07;0;1;42310505254
25;2015-11-02 12:07;0;1;42310505254
26;2015-11-02 12:07;0;1;42310505254
27;2015-11-02 12:07;0;1;42310505254
28;2015-11-02 12:07;0;1;42310505254
29;2015-11-02 12:07;0;1;42310505254
30;2015-11-02 12:07;0;1;42310505254
31;2015-11-02 12:07;0;1;42310505254
1;2015-11-02 12:07;0;1;42310505254
2;2015-11-02 12:07;0;1;42310505254
3;2015-11-02 12:07;0;1;42310505254
5;2015-11-02 12:07;0;1;42310505254
6;2015-11-02 12:07;0;1;42310505254
7;2015-11-02 12:07;0;1;42310505254
8;2015-11-02 12:07;0;1;42310505254
9;2015-11-02 12:07;0;1;42310505254
10;2015-11-02 12:07;0;1;42310505254
11;2015-11-02 12:07;0;1;42310505254
12;2015-11-02 12:07;0;1;42310505254
13;2015-11-02 12:07;0;1;42310505254
14;2015-11-02 12:07;0;1;42310505254
15;2015-11-02 12:07;0;1;42310505254
16;2015-11-02 12:07;0;1;42310505254
$RT_OFF$;2015-11-02 12:09;0;2;42310506537
231;2015-11-02 12:11;-1;1;42310508135
238;2015-11-02 12:11;-1;1;42310508135
239;2015-11-02 12:11;-1;1;42310508135
233;2015-11-02 12:13;-1;1;42310509234
232;2015-11-02 12:13;-1;1;42310509338
$RT_OFF$;2015-11-02 12:14;0;2;42310509864
231;2015-11-02 12:16;-1;1;42310511445
232;2015-11-02 12:16;-1;1;42310511445
233;2015-11-02 12:16;-1;1;42310511445
238;2015-11-02 12:16;-1;1;42310511445
239;2015-11-02 12:16;-1;1;42310511445
$RT_OFF$;2015-11-02 12:24;0;2;42310516961
231;2015-11-02 12:44;-1;1;42310530948
232;2015-11-02 12:44;-1;1;42310530948
233;2015-11-02 12:44;-1;1;42310530948
238;2015-11-02 12:44;-1;1;42310530948
239;2015-11-02 12:44;-1;1;42310530948
$RT_OFF$;2015-11-02 12:52;0;2;42310536293
$RT_COUNT$;406;;;
